Agency_Code,Unique_Investment_Identifier,Business Case ID,Agency,Investment Title,Project_ID,Project_Name,Project Description,Start_Date,Completion_Date,Duration,Planned_Completion_Date,Planned_Duration,Projected/Actual Project Completion Date (B2),Lifecycle_Cost,Planned_Cost,Projected/Actual Cost ($ M),Updated Date,Updated Time,Column
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1230,Balance of Payments Process Modernization,Parallel test components of new BP system.,2011-08-20T00:00:00Z,2012-09-30T00:00:00Z,407,2012-09-30T00:00:00Z,407,2012-09-30T00:00:00Z,1.24,1.24,0.838,29/06/2012,13:01:20,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1231,National Accounts Modernization,Initiate real-time parallel testing of integrated system for producing monthly GDP and personal income estimates.,2011-08-20T00:00:00Z,2012-03-31T00:00:00Z,224,2012-03-31T00:00:00Z,224,2012-03-31T00:00:00Z,0.413,0.4,0.413,29/06/2012,13:01:20,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1235,FY 11 Releases,"Produce timely, relevant, and accurate economic accounts data in an objective and cost-effective manner.",2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,9.696,2.424,2.425,24/10/2011,12:27:26,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1236,FY11 Controls Testing,Maintain the integrity of BEA Statistics by completing independent testing of security controls.,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,627,2011-09-23T00:00:00Z,0.59,0.13,0.13,24/10/2011,12:27:26,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1237,FY12 Releases,"Produce timely, relevant, and accurate economic accounts data in an objective and cost-effective manner.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,9.76,9.76,9.42,30/07/2012,11:43:49,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1238,FY12 Controls Testing,Maintain the integrity of BEA Statistics by completing independent testing of security controls.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,0.6,0.6,0.6,30/07/2012,11:43:49,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1239,Consolidated Infrastructure Logging,Implement centralized infrastructure logging to further strengthen IT security controls.,2011-08-15T00:00:00Z,2012-03-31T00:00:00Z,229,2012-03-31T00:00:00Z,229,2012-03-31T00:00:00Z,0.175,0.175,0.185,26/04/2012,6:17:26,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1240,DNSSEC,Implement DNSSEC in compliance with OMB mandate M-08-23 to secure the www.bea.gov DNS name.,2011-01-09T00:00:00Z,2011-12-31T00:00:00Z,356,2011-12-31T00:00:00Z,356,2011-12-31T00:00:00Z,0.03,0.03,0.03,24/02/2012,13:08:40,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1241,HSPD-12,Prepare to implement HSPD-12 to increase authentication security controls.,2011-01-09T00:00:00Z,2012-09-30T00:00:00Z,629,,,,0.16,0.16,0.09,30/07/2012,11:43:49,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),2886,Cross Survey Data Validation,Design and develop a cross-survey data validation system.,2012-03-01T00:00:00Z,2012-09-28T00:00:00Z,210,2012-09-28T00:00:00Z,210,2012-09-28T00:00:00Z,0.532,0.532,0.4808,30/07/2012,11:43:49,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),2887,Seasonal Adjustment,Create  a database-callable component for the X12 seasonal adjustment program.,2012-03-01T00:00:00Z,2012-06-29T00:00:00Z,119,2012-06-29T00:00:00Z,119,2012-09-28T00:00:00Z,0.4,0.35,0.203,29/06/2012,13:01:20,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),2888,Tabling Utility,Develop tabling as a general utility across multiple directorates.,2012-03-01T00:00:00Z,2012-09-28T00:00:00Z,210,2012-09-28T00:00:00Z,210,2012-09-28T00:00:00Z,0.49,0.49,0.3936,30/07/2012,11:43:49,
