Agency_Code,Unique_Investment_Identifier,Business Case ID,Agency,Investment Title,Project_ID,Project_Name,Project Description,Start_Date,Completion_Date,Duration,Planned_Completion_Date,Planned_Duration,Projected/Actual Project Completion Date (B2),Lifecycle_Cost,Planned_Cost,Actual_Cost,Updated Date,Updated Time,Column
5,005-000000067,247,Department of Agriculture(5),RMA-02  Corporate Insurance Information Systems (CIIS),1665,CIIS Hosting Maintenance and Operations,"O&amp;M. Includes AFS, DAS and CRS.",2010-01-10T00:00:00Z,2012-09-30T00:00:00Z,993,,,,6119,6119,6118.99986,1/8/2012,13:23:42,
5,005-000001430,248,Department of Agriculture(5),"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2938,FY12 Infrastructure Operations and Maintenance,Operations and Maintenance Costs.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,3805,3649.24997,3804.99991,1/8/2012,13:23:45,
5,005-000000064,246,Department of Agriculture(5),RMA-01  Financial Management Systems (FMS),1657,"Hosting Apportionment, maintenance and software fixes","Steady State including Escrow, Ineligible tracking, reconciliation, and RAS.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,1947,1947,1947.5,1/8/2012,13:23:39,
5,005-999991841,234,Department of Agriculture(5),Human Resources Line of Business:  Service Center,1770,EmpowHR Migration,EmpowHR Migration.,2011-01-06T00:00:00Z,2012-02-29T00:00:00Z,419,2012-02-29T00:00:00Z,419,2012-02-29T00:00:00Z,1071.255,1071.255,382.801,28/02/2012,14:17:14,
5,005-000000098,394,Department of Agriculture(5),Forest Service Computer Base,1765,SR 20092856 DOI - USDA FS Access Authentication,To address interagency operability opportunities.,2009-06-01T00:00:00Z,2017-12-14T00:00:00Z,3118,2010-11-06T00:00:00Z,523,2010-01-09T00:00:00Z,0.9,300.6,300.6,31/10/2011,13:10:21,
5,005-000000098,394,Department of Agriculture(5),Forest Service Computer Base,1766,SR 20115259 Linc Pass 2 Factor Identification,Security project to address implementation of 2 factor IDs.,2011-02-15T00:00:00Z,2013-01-15T00:00:00Z,700,,,,0.8,300.5,300.5,31/10/2011,13:10:21,
5,005-000001870,225,Department of Agriculture(5),Farm Program Modernization (MIDAS) #097,1676,Initial Operating Capability (IOC) Deployment,"IOC Release 1 acquisition and detailed planning will occur in FY11 Q3-Q4. Releases will follow SAP ASAP methodology (project prep, blueprint, realization, final prep and go live).",2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,631,,,,119.098812,119.099001,122.218486,28/02/2012,11:25:27,
5,005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,665,Enterprise Management,Management of APHIS Enterprise IT Systems.,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,627,2011-09-20T00:00:00Z,46.96,46.96,46.96,22/09/2011,10:34:32,
5,005-000001718,228,Department of Agriculture(5),FNCS IT Infrastructure,1097,FNCS IT Infrastructure Operations and Maintenance FY2012,FNCS IT Infrastructure Operations and Maintenance Activities for FY2012.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,21.04546,21.04546,21.045495,1/8/2012,13:22:11,
5,005-000001729,226,Department of Agriculture(5),"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1685,O&M,Provide IT infrstrucutre and computing platform.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,16.248,16.248,16.248,28/12/2011,9:29:28,
5,005-000001723,212,Department of Agriculture(5),AMS Infrastructure WAN and DMZ (AMSWAN),656,Operations,Annual Agency Operations.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,15.297,15.297,15.297,22/09/2011,10:22:25,
5,005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1710,Office Environment - Network Device Refresh: Acquisition - Phase 1,This project captures the cost of upgrading or replacing all switches and routers in the ITS network that will become unsupported in the next 1-2 years.,2012-06-15T00:00:00Z,2012-12-31T00:00:00Z,199,,,,12.659379,12.659379,12.659379,30/01/2012,11:12:22,
5,005-000000054,271,Department of Agriculture(5),Geographic Information System  (GIS) #84,1653,NAIP 2011,Imagery Data Acquisition.,2010-01-10T00:00:00Z,2012-10-31T00:00:00Z,1025,2012-10-31T00:00:00Z,1025,2012-10-31T00:00:00Z,17.35,16.43,12.43,28/02/2012,14:24:21,
